Flipper;🎯 Skillshot (wo?);🎯Eröffnungsstrategie ;🎮 Modus (welchen wählen?);📍 Modus starten (wo?);🔒 Lock qualifizieren (wie?);🔒 Ball locken (wo?);🎯 Multiball starten;🔘 Action-Button;🔄 Alternative;⚠️ Gefährlicher Schuss;💡 Tipp
WWE WrestleMania;Skillshot: Die beleuchtete Top-Lane (oben) treffen. Super Skillshot: Linken Flipper gedrückt halten und direkt die Left Ramp (linke Rampe) oder den angezeigten Hauptschuss treffen.;1. Einen Wrestler auswählen. 2. Die Training-Modi (Speed, Strength usw.) abschließen. 3. Das Wrestling Match im Ring starten. 4. Dadurch werden nach und nach 3 Locks freigeschaltet. 5. Die leuchtenden Rampen oder den Scoop treffen und alle Locks sammeln. 6. Danach startet automatisch der Championship Multiball.;🥇 Training zuerst abschließen. 🥈 Erst danach Wrestling Match.;Wrestler und Matches über den Center Scoop (Ring in der Mitte) starten.;Training absolvieren und Fortschritt im Ring-Match erzielen, bis 3 Locks freigeschaltet sind.;Championship Locks über die Hauptrampen und den Scoop – virtuelle Locks.;Startet automatisch nach dem 3. Lock.;Nein – kein Action Button erforderlich.;Ist der Multiball noch weit entfernt, lieber Trainingsziele abschließen.;Ring-Eingang und 3er-Dropbank – Fehlschüsse kommen häufig hart zur Mitte zurück.;Im Matchplay zählt ein früher Championship Multiball deutlich mehr als lange Wrestling-Matches. Training schnell erledigen, Multiball holen und erst danach weitere Kämpfe spielen.
Game of Thrones (2015);Skillshot: Die beleuchtete Top-Lane (oben) treffen. Super Skillshot: Linken Flipper gedrückt halten und direkt die Left Ramp (linke Rampe) oder den Right Orbit (rechter Orbit) treffen.;1. Haus Stark (alternativ Greyjoy oder Martell) wählen. 2. Hauptschüsse treffen und Castle Black aufbauen. 3. Dadurch werden 3 Locks für den Wall Multiball freigeschaltet. 4. Den Castle Black Scoop (rechter Scoop) treffen und die Locks sammeln. 5. Nach dem dritten Lock startet der Wall Multiball. 6. Währenddessen Gold sammeln und Shot-Multiplikatoren kaufen.;🥇 Haus Stark für sichere Rampen. 🥈 Martell nur für erfahrene Spieler.;Häuserwahl am Center Scoop (Mitte).;Über Fortschritt an den Hauptschüssen Castle Black aufbauen und 3 Locks qualifizieren.;Castle Black / Wall Lock am rechten Scoop – virtuelle Locks.;Castle Black Scoop (rechter Scoop) nach dem 3. Lock.;Nein – kein Action Button erforderlich.;Ist Wall noch weit entfernt, lieber Gold sammeln und sichere Rampen spielen.;Center Ramp und Right Orbit – Rückläufe kommen häufig schnell auf den rechten Flipper zurück.;Im Matchplay zuerst Wall Multiball spielen. Stark ist die sicherste Wahl für konstante Ergebnisse. Erfahrene Spieler nutzen oft Martell, weil das Stacken von Modi und Multiballs dort das höchste Scoring-Potenzial bietet.
Batman '66 (2016);Skillshot: Die beleuchtete Top-Lane (oben) treffen. Super Skillshot: Linken Flipper gedrückt halten und direkt die Left Ramp (linke Rampe) oder das Batphone (Mitte) treffen.;1. Einen schnellen Villain Mode wie Joker oder Riddler starten. 2. BATMAN vervollständigen und Fortschritt im Modus erzielen. 3. Dadurch werden 3 Locks für den Batcave Multiball freigeschaltet. 4. Den Batcave Scoop (Loch rechts oben) treffen und alle Locks sammeln. 5. Danach startet der Batcave Multiball. 6. Währenddessen den Villain Mode weiterspielen und Shot-X aufbauen.;🥇 Joker. 🥈 Riddler.;Villain Modes über das Batphone (Center Shot) starten.;BATMAN vervollständigen und Villain-Fortschritt erzielen, bis 3 Locks bereit sind.;Batcave Scoop (Loch rechts oben) – virtuelle Locks.;Nach dem 3. Lock den Batcave Scoop treffen.;Nein – kein Action Button erforderlich.;Ist der Multiball noch weit entfernt, lieber Villain Mode beenden.;Batphone und Center Shot – Fehlschüsse führen oft direkt zum SDTM.;Im Matchplay möglichst früh Batcave Multiball mit einem Villain Mode kombinieren. Joker und Riddler liefern den schnellsten Fortschritt.
Spider-Man Vault Edition (2016);Skillshot: Die beleuchtete Top-Lane (oben) treffen. Super Skillshot: Linken Flipper gedrückt halten und direkt den Left Orbit (linker Orbit) oder die Doc Ock Ramp (linke Rampe) treffen.;1. Einen einfachen Villain wie Sandman starten. 2. Die DOC OCK-Targets (Standup-Targets vor Doc Ock links) vervollständigen. 3. Dadurch werden 3 Locks freigeschaltet. 4. Den Ball über die Doc Ock Magnet Lock (linke Rampe) locken. 5. Insgesamt 3 Locks sammeln. 6. Danach startet der Doc Ock Multiball. 7. Anschließend weitere Villains und Battle Royale vorbereiten.;🥇 Sandman zuerst.;Villain Modes über den Daily Bugle Scoop (links oben) starten.;DOC OCK-Targets (Standups links) komplettieren. Insgesamt 3 Locks.;Doc Ock Magnet Lock an der linken Rampe – physische Locks.;Nach dem 3. Lock am Doc Ock Magnet.;Nein – kein Action Button erforderlich.;Ist Doc Ock noch weit entfernt, lieber Villain Mode weiterspielen.;Doc Ock Standups und rechte Rampe – harte Rückpraller laufen oft direkt zur Mitte oder auf den rechten Flipper.;Im Matchplay zuerst Doc Ock Multiball holen und möglichst mit Sandman kombinieren. Battle Royale ist zwar extrem wertvoll, aber für die meisten Turnierpartien zu weit entfernt.
Aerosmith (2017);Skillshot: Die beleuchtete Top-Lane (oben) treffen. Super Skillshot: Linken Flipper gedrückt halten und direkt die Toy Box (linke Rampe links neben dem Dämon) oder den angezeigten Hauptschuss treffen.;1. Einen einfachen Song wie Walk This Way oder Back in the Saddle starten. 2. Mehrfach die Toy Box (linke Rampe links neben dem Dämon) treffen. 3. Dadurch wird jeweils ein Lock vorbereitet. 4. Den Ball in der Toy Box locken. 5. Insgesamt 3 Locks sammeln. 6. Danach erneut die Toy Box treffen – Toy Box Multiball startet. 7. Während des Multiballs den Song weiterspielen und Jackpots sammeln.;🥇 Walk This Way. 🥈 Back in the Saddle.;Songs über den Record Scoop (Loch links oben) starten.;Die Toy Box (linke Rampe) mehrfach treffen. Insgesamt 3 Locks.;Toy Box (linke Rampe) – Premium/LE physische Locks, Pro virtuelle Locks.;Über die Toy Box (linke Rampe) nach dem 3. Lock.;Nein – kein Action Button erforderlich.;Ist der Multiball noch weit entfernt, lieber den gestarteten Song abschließen.;Toy Box Ramp und Dämon-Bash-Toy – Fehlschüsse kommen oft schnell auf den rechten Flipper zurück.;Im Matchplay möglichst früh Toy Box Multiball mit einem Song kombinieren. Walk This Way und Back in the Saddle liefern den schnellsten Fortschritt. Elevator Multiball und Wizard Mode erst später verfolgen.
Guardians of the Galaxy (2017);Skillshot: Die beleuchtete Top-Lane (oben) treffen. Super Skillshot: Linken Flipper gedrückt halten und direkt den Orb Shot (Center Spinner in der Mitte) oder den angezeigten Hauptschuss treffen.;1. Einen Planeten-Mode wie Knowhere oder Xandar starten. 2. Die ORB-Targets (Standup-Targets in der Mitte) vervollständigen. 3. Dadurch werden die Locks freigeschaltet. 4. Den Ball über Groot (linke Rampe) locken. 5. Insgesamt 3 Locks sammeln. 6. Danach erneut Groot / linke Rampe treffen – Cherry Bomb Multiball startet.;🥇 Knowhere. 🥈 Xandar.;Planeten-Modi über den Orb Scoop (Mitte) starten.;ORB-Targets (Mitte) vervollständigen. Insgesamt 3 Locks.;Groot (linke Rampe) – Premium/LE physisch, Pro virtuell.;Über Groot / linke Rampe nach dem 3. Lock.;Nein – kein Action Button erforderlich.;Ist Cherry Bomb noch weit entfernt, lieber den gestarteten Planeten-Mode spielen.;Orb Shot (Center Spinner) und Groot – Rückpraller können direkt zwischen die Flipper laufen.;Im Matchplay zuerst Cherry Bomb Multiball holen und direkt mit einem Planeten-Mode stacken. Orb Multiball ist stark, benötigt aber deutlich mehr Vorbereitung.
Iron Maiden: Legacy of the Beast (2018);Skillshot: Die beleuchtete Top-Lane (oben) treffen. Super Skillshot: Linken Flipper gedrückt halten und direkt die Left Ramp (linke Rampe) oder den angezeigten Hauptschuss treffen.;1. Einen Battle-Mode wie Aces High oder Powerslave starten. 2. E-D-D-I-E über die Hauptschüsse vervollständigen. 3. Dadurch wird jeweils ein Lock qualifiziert. 4. Den Ball im Sarkophag (links oben) locken. 5. Insgesamt 3 Locks sammeln. 6. Danach den Sarkophag erneut treffen – Trooper Multiball startet.;🥇 Aces High. 🥈 Powerslave.;Battle-Modi über den Center Sarcophagus Scoop starten.;E-D-D-I-E über Rampen und Orbits vervollständigen. Insgesamt 3 Locks.;Sarkophag (links oben) – Premium/LE physisch, Pro virtuell.;Über den Sarkophag (links oben) nach dem 3. Lock.;Nein – kein Action Button erforderlich.;Ist Trooper noch weit entfernt, lieber Battle-Mode weiterspielen.;Newton Ball (Mitte) und Sarkophag-Shot – Fehlschüsse können schnell zwischen die Flipper zurückkommen.;Im Matchplay hat Trooper Multiball höchste Priorität. Möglichst einen Battle-Mode vorher starten und bei aktivem 2× Playfield stacken – eine der stärksten Kombinationen des Spiels.
The Munsters (2019);Skillshot: Die beleuchtete Top-Lane (oben) treffen. Super Skillshot: Linken Flipper gedrückt halten und direkt die Left Ramp (linke Rampe) oder den Grandpa Shot (Loch rechts oben) treffen.;1. R-A-V-E-N über Rampen und Orbits vervollständigen. 2. Dadurch wird jeweils ein Lock freigeschaltet. 3. Den Ball über die Left Ramp (linke Rampe) locken. 4. Insgesamt 3 Locks sammeln. 5. Danach erneut die Left Ramp treffen – Raven Multiball startet. 6. Währenddessen Familienmitglieder weiter abschließen.;🥇 Keine besonderen Modi – direkt Raven Multiball aufbauen.;Familienmodi über den Grandpa Scoop (rechts oben) starten.;R-A-V-E-N über die Hauptschüsse vervollständigen. Insgesamt 3 Locks.;Raven Lock (linke Rampe) – virtuelle Locks.;Über die Left Ramp nach dem 3. Lock.;Nein – kein Action Button erforderlich.;Ist Raven noch weit entfernt, lieber Familienmitglieder abschließen.;Spot Target (Center Bash Toy) und Grandpa Scoop – Rückpraller laufen häufig direkt zur Mitte.;Im Matchplay möglichst früh Raven Multiball spielen und dabei Familienfortschritt mitnehmen. Munster Madness ist meist kein realistisches Ziel für eine kurze Turnierpartie.
Jurassic Park (2019);Skillshot: Die beleuchtete Top-Lane (oben) treffen. Super Skillshot: Linken Flipper gedrückt halten und direkt den Tower Shot (Tower oben links / linke Rampe) oder den angezeigten Hauptschuss treffen.;1. Den Control Room (linke Rampe) starten. 2. Einen Dinosaurier fangen (Capture) und mehrfach den T.-Rex / Captive Ball (Mitte rechts) treffen. 3. Nach jeder erfolgreichen Capture wird ein Lock qualifiziert. 4. Insgesamt 3 Capture-Locks sammeln. 5. Danach startet T. Rex Multiball automatisch. 6. Während des Multiballs Dinosaurier-Modi weiterspielen.;🥇 Zuerst Control Room. 🥈 Danach einfacher Dinosaurier-Modus.;Modi über den Control Room (linke Rampe) starten.;Dinosaurier fangen und den T.-Rex / Captive Ball (Mitte rechts) treffen. Insgesamt 3 Capture-Locks.;Raptor Paddock / T.-Rex – virtuelle Locks über den Captive Ball.;Startet automatisch nach dem 3. Capture-Lock.;Nein – kein Action Button erforderlich.;Ist Capture schwierig, lieber sichere Rampen spielen und später den Dino fangen.;T.-Rex Captive Ball und Truck-Rampe (rechts) – Fehlschüsse kommen oft schnell zur Mitte oder auf den rechten Flipper zurück.;Im Matchplay zuerst T. Rex Multiball holen und möglichst mit einem Dinosaurier-Modus kombinieren. Control-Room-Awards wie 2× Capture oder Playfield-X erhöhen den Wert des Multiballs erheblich. Escape Nublar ist ein Langzeitziel und im Matchplay meist zweitrangig.
Teenage Mutant Ninja Turtles (2020);Skillshot: Die beleuchtete Top-Lane (oben) treffen. Super Skillshot: Linken Flipper gedrückt halten und direkt den Pizza Parlor Shot (linke Rampe links zum Pizza-Parlor) oder den angezeigten Hauptschuss treffen.;1. Einen Turtle-Mode starten (Leonardo oder Raphael sind die einfachsten). 2. P-I-Z-Z-A über Rampen, Orbits und Hauptschüsse vervollständigen. 3. Nach jedem vollständigen PIZZA-Satz wird ein Lock freigeschaltet. 4. Den Ball über den Pizza Parlor (linke Rampe) locken. 5. Insgesamt 3 Locks sammeln. 6. Danach erneut den Pizza Parlor treffen – Pizza Multiball startet. 7. Während des Multiballs den Turtle-Mode weiterspielen und Jackpots sammeln.;🥇 Leonardo. 🥈 Raphael.;Turtle-Modi über den Pizza Parlor (linke Rampe) oder den Turtle Lair Scoop (links oben) starten.;P-I-Z-Z-A über die Hauptschüsse vervollständigen. Insgesamt 3 Locks.;Pizza Parlor (linke Rampe links) – virtuelle Locks.;Über den Pizza Parlor (linke Rampe) nach dem 3. Lock.;Nein – kein Action Button erforderlich.;Ist Pizza Multiball noch weit entfernt, lieber den gestarteten Turtle-Mode abschließen.;Pizza Spinner (Mitte) und Turtle Van (Mitte rechts) – Fehlschüsse laufen oft flach und schnell zwischen die Flipper zurück (SDTM).;Im Matchplay hat Pizza Multiball höchste Priorität. Vorher möglichst Leonardo oder Raphael starten und mit dem Multiball stacken. Krang Multiball ist stark, benötigt aber deutlich mehr Vorbereitung.
Led Zeppelin (2020);Skillshot: Die beleuchtete Top-Lane (oben) treffen. Super Skillshot: Linken Flipper gedrückt halten und direkt die Left Ramp (linke Rampe) oder den angezeigten Song-Schuss treffen.;1. Einen einfachen Song wie Good Times Bad Times oder Communication Breakdown starten. 2. Z-E-P-P-E-L-I-N über Rampen und Orbits vervollständigen. 3. Nach jedem vollständigen Satz wird ein Lock freigeschaltet. 4. Den Ball über das Zeppelin-Luftschiff (linke Rampe) locken. 5. Insgesamt 3 Locks sammeln. 6. Danach den Zeppelin-Shot erneut treffen – Zeppelin Multiball startet.;🥇 Good Times Bad Times. 🥈 Communication Breakdown.;Songs über den Record Scoop (Loch links oben) starten.;Z-E-P-P-E-L-I-N über die Hauptschüsse vervollständigen. Insgesamt 3 Locks.;Zeppelin Toy (Luftschiff links oben) – virtuelle Locks über die linke Rampe.;Über den Zeppelin-Shot nach dem 3. Lock.;Nein – kein Action Button erforderlich.;Ist der Multiball noch weit entfernt, lieber den gestarteten Song beenden.;Electric Magic Spinner (Mitte) und Zeppelin Toy – Rückpraller kommen oft schnell zur Flippermitte zurück.;Im Matchplay zuerst Zeppelin Multiball mit einem Song kombinieren. Tour Multiball lohnt sich meist erst später.
Godzilla (2021);Skillshot: Die beleuchtete Top-Lane (oben) treffen. Super Skillshot: Linken Flipper gedrückt halten und direkt den Bridge Shot (Brücke links der Mitte) oder den angezeigten Hauptschuss treffen.;1. Einen einfachen Kaiju Battle (Gigan oder Ebirah) starten. 2. Mehrfach Mechagodzilla (Bash Toy rechts der Mitte) treffen, bis LOCK leuchtet. 3. Den Ball über den Mechagodzilla-Shot (Mitte rechts) locken. 4. Insgesamt 3 Locks sammeln. 5. Danach erneut Mechagodzilla treffen – Mechagodzilla Multiball startet. 6. Battle während des Multiballs weiterspielen.;🥇 Gigan. 🥈 Ebirah.;Kaiju Battles über den Scoop (links der Mitte) starten.;Mechagodzilla (Bash Toy rechts der Mitte) mehrfach treffen, bis LOCK leuchtet. Insgesamt 3 Locks.;Mechagodzilla Magnet (Center-Right Shot) – virtuelle Locks.;Über den Mechagodzilla-Shot nach dem 3. Lock.;Nein – kein Action Button erforderlich.;Ist LOCK noch weit entfernt, lieber Bridge und sichere Rampen spielen.;Mechagodzilla Magnet und Building Shot (Gebäude oben Mitte) – harte Rückpraller können direkt SDTM zurückkommen.;Im Matchplay zuerst Mechagodzilla Multiball spielen und mit einem Kaiju Battle kombinieren. 2× Playfield oder ein Shot Multiplier steigern den Wert enorm. Tank Multiball erst danach angehen.
Pulp Fiction (2023);Skillshot: Die beleuchtete Top-Lane (oben) treffen. Super Skillshot: Direkt den beleuchteten Hauptschuss (meist linker Orbit) treffen.;1. Einen Pawn Shop- oder Bar-Mode starten. 2. Fortschritt über die Briefcase-/Safe-Schüsse (Mitte) sammeln. 3. Dadurch werden die Locks freigeschaltet. 4. Insgesamt 3 Locks sammeln. 5. Den Briefcase-/Safe-Shot (Mitte) treffen. 6. Briefcase Multiball startet. 7. Während des Multiballs den gestarteten Modus weiterspielen.;🥇 Pawn Shop. 🥈 Bar Mode.;Modi über den Start Scoop (links oben) starten.;Fortschritt über Briefcase-/Safe-Shots (Mitte) sammeln. Insgesamt 3 Locks.;Briefcase Lock (Safe/Briefcase in der Spielfeldmitte) – virtuelle Locks.;Über den Briefcase-/Safe-Shot (Mitte) nach dem 3. Lock.;Nein – kein Action Button erforderlich.;Ist der Multiball noch weit entfernt, lieber den gestarteten Modus abschließen.;Safe-/Briefcase-Shot (Mitte) – Fehlschüsse prallen häufig hart auf den rechten Flipper oder direkt zur Mitte zurück.;Im Matchplay ist Briefcase Multiball die höchste Priorität. Immer zuerst einen Modus starten und anschließend mit dem Multiball stacken – die Kombination bringt deutlich mehr Punkte als beide einzeln.
Galactic Tank Force (2023);Skillshot: Die beleuchtete Top-Lane (oben) treffen. Super Skillshot: Linken Flipper gedrückt halten und direkt die Left Ramp (linke Rampe) oder den angezeigten Hauptschuss treffen.;1. Einen Tank Battle starten. 2. Mehrfach den Tank (großes Bash Toy in der Spielfeldmitte) treffen. 3. Dadurch werden nach und nach die Locks freigeschaltet. 4. Den Ball über den Tank-Shot (Mitte) locken. 5. Insgesamt 3 Locks sammeln. 6. Danach erneut den Tank treffen – Tank Multiball startet. 7. Während des Multiballs den Battle weiter spielen und Jackpots einsammeln.;🥇 Zuerst einen Tank Battle starten.;Battle über den Mission Scoop (links oben) starten.;Den Tank (großes Bash Toy in der Mitte) mehrfach treffen. Insgesamt 3 Locks.;Tank Lock (Center Shot auf den Tank) – virtuelle Locks.;Über den Tank-Shot (Mitte) nach dem 3. Lock.;Nein – kein Action Button erforderlich.;Ist Tank Multiball noch weit entfernt, lieber den gestarteten Battle abschließen.;Tank Bash Toy (Mitte) – harte Rückpraller kommen häufig direkt zwischen die Flipper oder auf den rechten Flipper zurück.;Im Matchplay hat Tank Multiball höchste Priorität. Immer zuerst einen Battle starten und anschließend mit dem Multiball kombinieren. Alien-Invasionen und Wizard-Ziele erst später verfolgen.
Legends of Valhalla (2023);Skillshot: Die beleuchtete Top-Lane (oben) treffen. Super Skillshot: Linken Flipper gedrückt halten und direkt die Left Ramp (linke Rampe) oder den angezeigten Hauptschuss treffen.;1. Eine Quest starten. 2. Questziele abschließen und Fortschritt sammeln. 3. Dadurch werden die Locks freigeschaltet. 4. Den Ball über den Valhalla Scoop (Loch oben mittig) locken. 5. Insgesamt 3 Locks sammeln. 6. Danach erneut den Valhalla Scoop treffen – Valhalla Multiball startet.;🥇 Eine einfache Quest wählen.;Quests über den Valhalla Scoop (oben Mitte) starten.;Quests erfolgreich abschließen. Insgesamt 3 Locks.;Valhalla Scoop (oben Mitte) – virtuelle Locks.;Über den Valhalla Scoop nach dem 3. Lock.;Nein – kein Action Button erforderlich.;Ist der Multiball noch weit entfernt, lieber die gestartete Quest abschließen.;Center Scoop (oben Mitte) und mittlere Targetbank – Fehlschüsse kommen häufig direkt auf den rechten Flipper zurück.;Im Matchplay zuerst Valhalla Multiball aufbauen und direkt mit einer Quest stacken. Runen und weitere Quests erst danach verfolgen.
Barry O's Barbecue Challenge (2024);Skillshot: Die beleuchtete Top-Lane (oben) treffen. Super Skillshot: Linken Flipper gedrückt halten und direkt den Left Ramp Shot (linke Rampe) oder den angezeigten Hauptschuss treffen.;1. Einen Cook-Off Mode starten. 2. Fortschritt über Rampen und Hauptschüsse sammeln. 3. Dadurch werden die Locks freigeschaltet. 4. Den Ball über den BBQ Smoker (Scoop oben Mitte) locken. 5. Insgesamt 3 Locks sammeln. 6. Danach erneut den BBQ Smoker treffen – BBQ Multiball startet.;🥇 Einen einfachen Cook-Off wählen.;Cook-Offs über den BBQ Scoop / Smoker (oben Mitte) starten.;Cook-Off-Ziele erfüllen. Insgesamt 3 Locks.;BBQ Smoker / Scoop (oben Mitte) – virtuelle Locks.;Über den BBQ Smoker nach dem 3. Lock.;Nein – kein Action Button erforderlich.;Ist BBQ Multiball noch weit entfernt, lieber den gestarteten Cook-Off abschließen.;Center Scoop / BBQ Smoker – Fehlschüsse prallen häufig schnell zur Mitte oder auf den rechten Flipper zurück.;Im Matchplay möglichst früh BBQ Multiball mit einem Cook-Off kombinieren. Rezept- und Sammelziele lohnen sich eher in langen Spielen.
Dungeons & Dragons: The Tyrant's Eye (2025);Skillshot: Die beleuchtete Top-Lane (oben) treffen. Super Skillshot: Linken Flipper gedrückt halten und direkt die Left Ramp (linke Rampe) oder den angezeigten Hauptschuss treffen.;1. Eine Quest starten. 2. Gegner besiegen und Questziele erfüllen. 3. Dadurch werden die 3 Dragon-Locks freigeschaltet. 4. Den Ball über den Dragon Scoop (Loch am Drachen oben Mitte) locken. 5. Insgesamt 3 Locks sammeln. 6. Danach erneut den Dragon Shot treffen – Dragon Multiball startet.;🥇 Eine kurze, einfache Quest wählen.;Quests über den Quest Scoop (links oben) starten.;Questziele erfüllen und Gegner besiegen. Insgesamt 3 Locks.;Dragon Scoop / Dragon Shot (oben Mitte am Drachen) – virtuelle Locks.;Über den Dragon Shot / Scoop nach dem 3. Lock.;Nein – kein Action Button erforderlich.;Ist Dragon Multiball noch weit entfernt, lieber die gestartete Quest beenden.;Dragon Bash Shot (Mitte) – harte Rückpraller laufen häufig direkt zwischen die Flipper oder auf den rechten Flipper zurück.;Im Matchplay zuerst Dragon Multiball holen und mit einer Quest kombinieren. Wenige schnelle Quests bringen meist mehr als viele parallel gestartete Abenteuer.
Tiger Rag (Gottlieb 1965);Skillshot: Die 4 oberen Rollovers (oben) vollständig treffen, ohne vorher den Saucer (Loch oben Mitte) oder andere Schalter zu aktivieren.;1. Die White Elephant Targets (Drop-Targets links der Mitte) vollständig abschießen. 2. Dadurch den Bonus-X erhöhen. 3. Anschließend den Saucer (Loch oben Mitte) für hohe Punkte spielen. 4. Danach das Lancer-Feature weiter aufbauen und Bonus sichern.;Keine Modusauswahl vorhanden.;–;Kein Lock und kein Multiball vorhanden.;–;Kein Multiball vorhanden.;Nein – kein Action Button vorhanden.;Solange der Bonus-X niedrig ist, lieber weiter die White Elephant Targets spielen.;Saucer (Loch oben Mitte) – Rimm-Outs können den Ball unkontrolliert zur rechten Flipperseite zurückwerfen.;Im Matchplay zuerst konsequent den Bonus-X über die White Elephant Targets aufbauen. Specials und Replay-Funktionen ignorieren – Ballkontrolle und Bonus bringen deutlich mehr Punkte.
Gondolier (1961);Kein klassischer Skillshot. Den Ball möglichst kontrolliert über die oberen Rollovers (oben) laufen lassen, um Bonus und Punkte aufzubauen.;1. Die oberen Rollovers (oben) vervollständigen. 2. Die Standup- und Bonus-Targets (Mitte) treffen, um Bonus und Bonus-X zu erhöhen. 3. Danach gezielt den Top Saucer (Loch oben Mitte) anspielen. 4. Bonus bis zum Ballende sichern.;Keine Modusauswahl vorhanden.;–;Kein Lock und kein Multiball vorhanden.;–;Kein Multiball vorhanden.;Nein – kein Action Button vorhanden.;Solange Bonus-X noch niedrig ist, lieber weiter Rollovers und Targets spielen.;Top Saucer (Loch oben Mitte) – Kickouts können unvorhersehbar auf die Flipper oder Richtung Outlane zurückkommen.;Im Matchplay zählt der Bonusaufbau deutlich mehr als Einzelpunkte. Replay- und Special-Lampen ignorieren. Sichere Schüsse auf Rollovers und Targets bringen langfristig die besten Ergebnisse.
Wizard (1975);Kein klassischer Skillshot. Den Abschuss möglichst über die oberen Rollovers (oben) steuern, um Bonus und Multiplikator zu erhöhen.;1. Die Drop-Targets (Mitte) vollständig abschießen. 2. Den Bonus-X erhöhen. 3. Den Spinner (linker Orbit) nur spielen, wenn er beleuchtet ist. 4. Rollovers vervollständigen und Bonus sichern.;Keine Modusauswahl vorhanden.;–;Kein Lock und kein Multiball vorhanden.;–;Kein Multiball vorhanden.;Nein – kein Action Button vorhanden.;Ist der Spinner nicht beleuchtet, lieber weiter die Drop-Targets spielen.;Drop-Targets (Mitte) – harte Rückpraller können direkt zwischen die Flipper oder auf die Slingshots zurückkommen.;Im Matchplay stehen Bonus und Bonus-X an erster Stelle. Replay-, Special- und Extra-Ball-Ziele ignorieren. Lieber kontrollierte Spinner- und Target-Schüsse als riskante Einzelpunkte.
Fan-Tas-Tic (1972);Kein klassischer Skillshot. Den Abschuss möglichst so steuern, dass die oberen Rollovers (oben) für Bonus und Multiplikator getroffen werden.;1. Die Drop-Targets und Standup-Targets (Mitte) vervollständigen. 2. Den Bonus-X erhöhen. 3. Den Spinner (linker Orbit) nur spielen, wenn er beleuchtet ist. 4. Bonus sichern.;Keine Modusauswahl vorhanden.;–;Kein Lock und kein Multiball vorhanden.;–;Kein Multiball vorhanden.;Nein – kein Action Button vorhanden.;Solange der Spinner nicht beleuchtet ist, lieber Targets weiterspielen.;Mittlere Drop-Targets – harte Abpraller können unkontrolliert zur Spielfeldmitte oder auf die Slingshots zurückkommen.;Im Matchplay sind Bonus und Bonus-X entscheidend. Replay-, Special- und Extra-Ball-Ziele ignorieren. Sichere Target-Treffer bringen mehr als riskante Schüsse auf Specials.
Big Betty's Truck Stop (2024);Skillshot: Die beleuchtete Top-Lane (oben) treffen. Super Skillshot: Linken Flipper gedrückt halten und direkt den Left Ramp Shot (linke Rampe) oder den angezeigten Hauptschuss treffen.;1. Eine Customer Order starten. 2. Die Order über Rampen und Hauptschüsse erfüllen. 3. Dadurch werden nach und nach die 3 Locks freigeschaltet. 4. Den Ball über den Truck Stop Scoop (Loch oben Mitte) locken. 5. Insgesamt 3 Locks sammeln. 6. Danach erneut den Truck Stop Scoop treffen – Truck Stop Multiball startet.;🥇 Eine einfache Customer Order wählen.;Orders über den Truck Stop Scoop (oben Mitte) starten.;Customer Orders abschließen und Fortschritt über die Hauptschüsse sammeln. Insgesamt 3 Locks.;Truck Stop Scoop (Loch oben Mitte) – virtuelle Locks.;Über den Truck Stop Scoop (oben Mitte) nach dem 3. Lock.;Nein – kein Action Button erforderlich.;Ist der Multiball noch weit entfernt, lieber die gestartete Order abschließen.;Center Scoop (oben Mitte) – Fehlschüsse können schnell auf den rechten Flipper oder direkt zur Spielfeldmitte zurückkommen.;Im Matchplay möglichst früh Truck Stop Multiball mit einer laufenden Customer Order kombinieren. Road Events und Sammelziele sind eher Langzeitziele.
Evil Dead (2025);Skillshot: Das blinkende GROOVY-Target (Standup-Target oben) treffen. Super Skillshot: Linken Flipper gedrückt halten und innerhalb von 5 Sekunden den blinkenden Hauptschuss treffen.;1. Die weißen Rampen spielen, um einen Film-Modus zu qualifizieren. 2. Den Modus über den Shot unter der rechten Rampe starten. 3. Parallel Boomstick Multiball oder Cabin Multiball vorbereiten. 4. Cabin MB: Cabin-Drop-Targets abschießen und den Ball im Cabin Lock hinter den Targets locken. 5. Boomstick MB: Shotgun-Mission erfüllen und Lock & Load qualifizieren. 6. Den jeweiligen Multiball starten und möglichst mit dem Film-Modus stacken.;🥇 Einen Film-Modus starten.;Über den Shot unter der rechten Rampe (Mode Start).;Boomstick MB: Shotgun-Mission + Lock & Load. Cabin MB: Cabin-Drop-Targets abschießen und Lock freispielen.;Cabin Lock hinter den heruntergeschossenen Cabin-Drop-Targets. Boomstick besitzt keinen klassischen Ball-Lock.;Über den jeweiligen Cabin- oder Boomstick-Multiball-Start, sobald die Voraussetzungen erfüllt sind.;Nein – kein Action Button erforderlich.;Ist ein Multiball noch weit entfernt, lieber zuerst den gestarteten Film-Modus abschließen.;Shot unter der rechten Rampe (Mode Start) – Fehlschüsse kommen häufig schnell und flach auf den rechten Flipper zurück.;Im Matchplay zuerst einen Film-Modus starten und anschließend mit Boomstick oder Cabin Multiball kombinieren. Blood Flood (Playfield-X) nebenbei mitnehmen, aber keine riskanten Zusatzschüsse nur für kleine Awards erzwingen. Frühes Stacking liefert die konstantesten Punkte.
